country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Munger,"Town Hall, Munger - BSPCB",08-04-2025 22:00:00,25.376776,86.471523,NO2,21.0,23.0,23.0
India,Bihar,Munger,"Town Hall, Munger - BSPCB",08-04-2025 22:00:00,25.376776,86.471523,OZONE,2.0,7.0,4.0
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",08-04-2025 22:00:00,26.11442,85.39813,PM2.5,65.0,119.0,88.0
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",08-04-2025 22:00:00,26.349082,92.68449,NO2,4.0,40.0,15.0
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",08-04-2025 22:00:00,26.349082,92.68449,CO,38.0,106.0,65.0
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA",08-04-2025 22:00:00,26.987634,94.636574,NO2,22.0,55.0,36.0
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",08-04-2025 22:00:00,26.146529,87.454184,PM10,41.0,110.0,78.0
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",08-04-2025 22:00:00,25.265194,87.012947,SO2,25.0,108.0,67.0
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",08-04-2025 22:00:00,22.1910172,83.5197009,CO,17.0,42.0,23.0
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",08-04-2025 22:00:00,21.258815,81.578979,CO,26.0,60.0,32.0
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",08-04-2025 22:00:00,21.219665,81.630094,NO2,41.0,304.0,118.0
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",08-04-2025 22:00:00,21.237755,81.705301,PM2.5,1.0,41.0,16.0
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",08-04-2025 22:00:00,21.237755,81.705301,NH3,7.0,7.0,7.0
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",08-04-2025 22:00:00,21.371751,81.664929,NO2,21.0,61.0,36.0
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",08-04-2025 22:00:00,30.719859,76.738637,SO2,6.0,18.0,10.0
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",08-04-2025 22:00:00,30.719859,76.738637,OZONE,4.0,156.0,94.0
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",08-04-2025 22:00:00,21.194815,81.31477,CO,13.0,104.0,27.0
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",08-04-2025 22:00:00,21.194815,81.31477,OZONE,10.0,33.0,29.0
India,Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",08-04-2025 22:00:00,21.185571,81.343175,PM2.5,16.0,74.0,40.0
India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",08-04-2025 22:00:00,22.08815,82.13737,NO2,17.0,55.0,27.0
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",08-04-2025 22:00:00,22.118125,83.140608,NH3,7.0,7.0,7.0
India,Bihar,Patna,"Samanpura, Patna - BSPCB",08-04-2025 22:00:00,25.596727,85.085624,OZONE,80.0,128.0,125.0
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",08-04-2025 22:00:00,25.892357,86.590325,PM2.5,27.0,68.0,45.0
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",08-04-2025 22:00:00,25.859655,85.77944,NH3,2.0,2.0,2.0
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",08-04-2025 22:00:00,25.859655,85.77944,CO,17.0,51.0,36.0
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",08-04-2025 22:00:00,24.952822,84.002396,PM2.5,113.0,277.0,165.0
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",08-04-2025 22:00:00,26.2271665,84.3570427,NH3,1.0,2.0,2.0
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",08-04-2025 22:00:00,30.735567,76.775714,PM10,75.0,225.0,131.0
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",08-04-2025 22:00:00,30.735567,76.775714,NO2,29.0,295.0,82.0
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",08-04-2025 22:00:00,21.371751,81.664929,NH3,3.0,3.0,3.0
India,Delhi,Delhi,"Alipur, Delhi - DPCC",08-04-2025 22:00:00,28.815329,77.15301,OZONE,2.0,23.0,10.0
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",08-04-2025 22:00:00,28.695381,77.181665,NO2,23.0,151.0,77.0
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",08-04-2025 22:00:00,28.695381,77.181665,SO2,20.0,57.0,31.0
India,Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",08-04-2025 22:00:00,22.118125,83.140608,CO,26.0,41.0,31.0
India,Chhattisgarh,Korba,"Rampur, Korba - CECB",08-04-2025 22:00:00,22.368195,82.746431,PM10,61.0,104.0,82.0
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",08-04-2025 22:00:00,22.348441,82.549611,SO2,8.0,18.0,10.0
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",08-04-2025 22:00:00,25.610369,85.132568,OZONE,39.0,43.0,42.0
India,Bihar,Patna,"Muradpur, Patna - BSPCB",08-04-2025 22:00:00,25.619651,85.147382,NH3,1.0,38.0,5.0
India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",08-04-2025 22:00:00,25.599486,85.113666,CO,20.0,49.0,33.0
India,Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",08-04-2025 22:00:00,26.1403345,85.3650192,SO2,5.0,10.0,6.0
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",08-04-2025 22:00:00,26.1209,85.3647,OZONE,17.0,81.0,55.0
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",08-04-2025 22:00:00,28.695381,77.181665,OZONE,3.0,295.0,205.0
India,Delhi,Delhi,"DTU, Delhi - CPCB",08-04-2025 22:00:00,28.7500499,77.1112615,OZONE,25.0,38.0,30.0
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",08-04-2025 22:00:00,28.498571,77.26484,SO2,25.0,40.0,34.0
India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",08-04-2025 22:00:00,28.498571,77.26484,OZONE,6.0,210.0,166.0
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",08-04-2025 22:00:00,28.5710274,77.0719006,SO2,16.0,29.0,21.0
India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",08-04-2025 22:00:00,28.5710274,77.0719006,OZONE,5.0,159.0,115.0
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",08-04-2025 22:00:00,28.6811736,77.3025234,PM10,147.0,187.0,164.0
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",08-04-2025 22:00:00,28.6811736,77.3025234,OZONE,8.0,60.0,40.0
India,Delhi,Delhi,"ITO, Delhi - CPCB",08-04-2025 22:00:00,28.628624,77.24106,OZONE,1.0,27.0,15.0
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",08-04-2025 22:00:00,28.73282,77.170633,PM10,185.0,486.0,292.0
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",08-04-2025 22:00:00,28.58028,77.233829,CO,52.0,122.0,71.0
India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",08-04-2025 22:00:00,28.588333,77.221667,PM10,163.0,215.0,186.0
India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",08-04-2025 22:00:00,28.611281,77.237738,CO,2.0,108.0,37.0
India,Delhi,Delhi,"Narela, Delhi - DPCC",08-04-2025 22:00:00,28.822836,77.101981,CO,18.0,69.0,30.0
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",08-04-2025 22:00:00,28.56789,77.250515,CO,17.0,99.0,34.0
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",08-04-2025 22:00:00,28.6573814,77.1585447,PM10,150.0,336.0,214.0
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",08-04-2025 22:00:00,28.6573814,77.1585447,OZONE,7.0,301.0,197.0
